% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.822	1	2	83	3	1	28	1095	0
0.822	1	1	83	3	2	28	1095	0
0.823	1	2	83	4	1	28	1095	0
0.823	1	1	83	4	2	28	1095	0
0.824	1	2	83	5	1	28	1095	0
0.824	1	1	83	5	2	28	1095	0
0.825	1	2	83	6	1	28	1095	0
0.825	1	1	83	6	2	28	1095	0
0.826	1	2	83	7	1	28	1095	0
0.826	1	1	83	7	2	28	1095	0
0.827	1	2	83	8	1	28	1095	0
0.827	1	1	83	8	2	28	1095	0
0.828	1	2	83	9	1	28	1095	0
0.828	1	1	83	9	2	28	1095	0
0.829	1	2	83	10	1	28	1095	0
0.829	1	1	83	10	2	28	1095	0
0.83	1	2	84	1	1	28	1095	0
0.83	1	1	84	1	2	28	1095	0
0.831	1	2	84	2	1	28	1095	0
0.831	1	1	84	2	2	28	1095	0
0.832	1	2	84	3	1	28	1095	0
0.832	1	1	84	3	2	28	1095	0
0.833	1	2	84	4	1	28	1095	0
0.833	1	1	84	4	2	28	1095	0
0.834	1	2	84	5	1	28	1095	0
0.834	1	1	84	5	2	28	1095	0
0.835	1	2	84	6	1	28	1095	0
0.835	1	1	84	6	2	28	1095	0
0.836	1	2	84	7	1	28	1095	0
0.836	1	1	84	7	2	28	1095	0
0.837	1	2	84	8	1	28	1095	0
0.837	1	1	84	8	2	28	1095	0
0.838	1	2	84	9	1	28	1095	0
0.838	1	1	84	9	2	28	1095	0
0.839	1	2	84	10	1	28	1095	0
0.839	1	1	84	10	2	28	1095	0
0.84	1	2	85	1	1	28	1095	0
0.84	1	1	85	1	2	28	1095	0
0.841	1	2	85	2	1	28	1095	0
